model_name,checkpoint_stage,eval_stage,stage_relation,overall_score,num_examples,invalid_json_count,invalid_json_rate,split_type,source_file
GLM-4-9B-1M,6,2,old,0.092737,234,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,6,3,old,0.154763,227,2,0.008811,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,6,4,old,0.085971,226,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,6,5,old,0.085177,229,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_05_unseen_mimo/scores.json
GLM-4-9B-1M,6,6,current,0.167684,235,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_06_unseen_mimo/scores.json
GLM-4-9B-1M,7,1,old,0.077428,236,1,0.004237,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,7,2,old,0.101033,234,3,0.012821,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,7,3,old,0.104201,227,2,0.008811,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,7,4,old,0.121125,226,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,7,5,old,0.053606,229,2,0.008734,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_05_unseen_mimo/scores.json
GLM-4-9B-1M,7,6,old,0.103561,235,1,0.004255,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_06_unseen_mimo/scores.json
GLM-4-9B-1M,7,7,current,0.175275,243,1,0.004115,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_07_unseen_mimo/scores.json
GLM-4-9B-1M,8,1,old,0.070648,236,1,0.004237,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,8,2,old,0.106779,234,2,0.008547,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,8,3,old,0.089808,227,2,0.008811,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,8,4,old,0.086285,226,4,0.017699,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,8,5,old,0.068842,229,3,0.013100,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_05_unseen_mimo/scores.json
GLM-4-9B-1M,8,6,old,0.084869,235,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_06_unseen_mimo/scores.json
GLM-4-9B-1M,8,7,old,0.143871,243,1,0.004115,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_07_unseen_mimo/scores.json
GLM-4-9B-1M,8,8,current,0.141405,228,1,0.004386,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_08_unseen_mimo/scores.json
GLM-4-9B-1M,9,1,old,0.096857,236,2,0.008475,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,9,2,old,0.148525,234,1,0.004274,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,9,3,old,0.122049,227,1,0.004405,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,9,4,old,0.056236,226,1,0.004425,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,9,5,old,0.098484,229,1,0.004367,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_05_unseen_mimo/scores.json
GLM-4-9B-1M,9,6,old,0.088684,235,1,0.004255,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_06_unseen_mimo/scores.json
GLM-4-9B-1M,9,7,old,0.091495,243,2,0.008230,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_07_unseen_mimo/scores.json
GLM-4-9B-1M,9,8,old,0.109394,228,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_08_unseen_mimo/scores.json
GLM-4-9B-1M,9,9,current,0.168201,233,1,0.004292,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_09_unseen_mimo/scores.json
GLM-4-9B-1M,10,1,old,0.075603,236,2,0.008475,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,10,2,old,0.125685,234,3,0.012821,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,10,3,old,0.105852,227,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,10,4,old,0.077591,226,1,0.004425,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,10,5,old,0.096936,229,1,0.004367,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_05_unseen_mimo/scores.json
GLM-4-9B-1M,10,6,old,0.064897,235,1,0.004255,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_06_unseen_mimo/scores.json
GLM-4-9B-1M,10,7,old,0.081523,243,3,0.012346,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_07_unseen_mimo/scores.json
GLM-4-9B-1M,10,8,old,0.094789,228,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_08_unseen_mimo/scores.json
GLM-4-9B-1M,10,9,old,0.146126,233,3,0.012876,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_09_unseen_mimo/scores.json
GLM-4-9B-1M,10,10,current,0.136138,239,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_10_unseen_mimo/scores.json
GLM-4-9B-1M,1,1,current,0.216058,944,13,0.013771,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_memory_baseline/glm4_entitysplit_sw_nh_qa_upweight24_stage_01_fullptqa_e1_lr5e6_4567_seen_vllm_mimo_seq/scores.json
GLM-4-9B-1M,2,1,old,0.120294,944,6,0.006356,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_02/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,2,2,current,0.215602,936,13,0.013889,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_02/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,3,1,old,0.104376,944,24,0.025424,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_03/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,3,2,old,0.129251,936,20,0.021368,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_03/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,3,3,current,0.222160,951,12,0.012618,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_03/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,4,1,old,0.087582,944,13,0.013771,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,4,2,old,0.108157,936,5,0.005342,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,4,3,old,0.131121,951,5,0.005258,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,4,4,current,0.227881,961,8,0.008325,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,5,1,old,0.084191,944,6,0.006356,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,5,2,old,0.122091,936,5,0.005342,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,5,3,old,0.127792,951,2,0.002103,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,5,4,old,0.158012,961,9,0.009365,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,5,5,current,0.195042,949,2,0.002107,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_05_seen_mimo/scores.json
GLM-4-9B-1M,6,1,old,0.093969,944,9,0.009534,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,6,2,old,0.093750,936,5,0.005342,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,6,3,old,0.104479,951,4,0.004206,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,6,4,old,0.143347,961,8,0.008325,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,6,5,old,0.113288,949,7,0.007376,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_05_seen_mimo/scores.json
GLM-4-9B-1M,6,6,current,0.185783,942,4,0.004246,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_06_seen_mimo/scores.json
GLM-4-9B-1M,7,1,old,0.079715,944,4,0.004237,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,7,2,old,0.087657,936,3,0.003205,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,7,3,old,0.103923,951,7,0.007361,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,7,4,old,0.108307,961,7,0.007284,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,7,5,old,0.105562,949,5,0.005269,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_05_seen_mimo/scores.json
GLM-4-9B-1M,7,6,old,0.133234,942,5,0.005308,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_06_seen_mimo/scores.json
GLM-4-9B-1M,7,7,current,0.199066,965,5,0.005181,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_07/stage_07_seen_mimo/scores.json
GLM-4-9B-1M,8,1,old,0.091879,944,11,0.011653,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,8,2,old,0.095839,936,3,0.003205,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,8,3,old,0.103501,951,9,0.009464,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,8,4,old,0.117184,961,10,0.010406,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,8,5,old,0.091688,949,4,0.004215,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_05_seen_mimo/scores.json
GLM-4-9B-1M,8,6,old,0.122049,942,8,0.008493,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_06_seen_mimo/scores.json
GLM-4-9B-1M,8,7,old,0.146442,965,3,0.003109,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_07_seen_mimo/scores.json
GLM-4-9B-1M,8,8,current,0.234719,935,7,0.007487,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_08/stage_08_seen_mimo/scores.json
GLM-4-9B-1M,9,1,old,0.078300,944,2,0.002119,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,9,2,old,0.092725,936,4,0.004274,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,9,3,old,0.101469,951,5,0.005258,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,9,4,old,0.100390,961,8,0.008325,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,9,5,old,0.089133,949,3,0.003161,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_05_seen_mimo/scores.json
GLM-4-9B-1M,9,6,old,0.088595,942,4,0.004246,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_06_seen_mimo/scores.json
GLM-4-9B-1M,9,7,old,0.115393,965,7,0.007254,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_07_seen_mimo/scores.json
GLM-4-9B-1M,9,8,old,0.115131,935,6,0.006417,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_08_seen_mimo/scores.json
GLM-4-9B-1M,9,9,current,0.225681,935,6,0.006417,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_09/stage_09_seen_mimo/scores.json
GLM-4-9B-1M,10,1,old,0.082226,944,2,0.002119,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_01_seen_mimo/scores.json
GLM-4-9B-1M,10,2,old,0.082561,936,5,0.005342,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_02_seen_mimo/scores.json
GLM-4-9B-1M,10,3,old,0.107551,951,5,0.005258,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_03_seen_mimo/scores.json
GLM-4-9B-1M,10,4,old,0.104124,961,5,0.005203,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_04_seen_mimo/scores.json
GLM-4-9B-1M,10,5,old,0.095786,949,2,0.002107,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_05_seen_mimo/scores.json
GLM-4-9B-1M,10,6,old,0.090885,942,2,0.002123,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_06_seen_mimo/scores.json
GLM-4-9B-1M,10,7,old,0.108398,965,3,0.003109,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_07_seen_mimo/scores.json
GLM-4-9B-1M,10,8,old,0.134240,935,5,0.005348,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_08_seen_mimo/scores.json
GLM-4-9B-1M,10,9,old,0.141926,935,2,0.002139,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_09_seen_mimo/scores.json
GLM-4-9B-1M,10,10,current,0.207098,947,4,0.004224,supervised_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_10/stage_10_seen_mimo/scores.json
Qwen2.5-7B-1M,1,1,current,0.095183,236,8,0.033898,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_01/stage_01_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,2,1,old,0.098755,236,6,0.025424,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_02/stage_01_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,2,2,current,0.138051,234,4,0.017094,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_02/stage_02_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,3,1,old,0.080075,236,6,0.025424,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_03/stage_01_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,3,2,old,0.125464,234,7,0.029915,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_03/stage_02_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,3,3,current,0.104428,227,7,0.030837,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_03/stage_03_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,4,1,old,0.098410,236,9,0.038136,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_04/stage_01_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,4,2,old,0.113701,234,4,0.017094,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_04/stage_02_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,4,3,old,0.107769,227,5,0.022026,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_04/stage_03_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,4,4,current,0.164847,226,6,0.026549,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_04/stage_04_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,5,1,old,0.115758,236,7,0.029661,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_05/stage_01_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,5,2,old,0.118502,234,8,0.034188,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_05/stage_02_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,5,3,old,0.102275,227,9,0.039648,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_05/stage_03_unseen_qwen25_1m_mimo/scores.json
Qwen2.5-7B-1M,5,4,old,0.092394,226,3,0.013274,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise_qwen25_7b_1m/checkpoint_stage_05/stage_04_unseen_qwen25_1m_mimo/scores.json
