data_role,metric_group,task_type,model_name,checkpoint_stage,eval_stage,value,split_type,definition_note
old_stage_curve,overall,overall,Qwen2.5-7B-1M,7,,0.091580,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,8,,0.094672,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,9,,0.103085,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,10,,0.098466,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,1,0.167949,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,1,0.100775,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,1,0.085208,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,1,0.077624,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,1,0.098799,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,1,0.097562,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,1,0.077428,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,1,0.070648,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,1,0.096857,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,1,0.075603,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,2,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,2,0.238764,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,2,0.169377,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,2,0.179974,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,2,0.126120,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,2,0.092737,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,2,0.101033,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,2,0.106779,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,2,0.148525,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,2,0.125685,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,3,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,3,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,3,0.183436,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,3,0.141093,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,3,0.119615,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,3,0.154763,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,3,0.104201,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,3,0.089808,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,3,0.122049,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,3,0.105852,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,4,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,4,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,4,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,4,0.181374,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,4,0.130148,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,4,0.085971,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,4,0.121125,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,4,0.086285,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,4,0.056236,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,4,0.077591,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,5,0.218577,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,5,0.085177,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,5,0.053606,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,5,0.068842,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,5,0.098484,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,5,0.096936,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,6,0.167684,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,6,0.103561,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,6,0.084869,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,6,0.088684,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,6,0.064897,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,7,0.175275,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,7,0.143871,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,7,0.091495,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,7,0.081523,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,8,0.141405,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,8,0.109394,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,8,0.094789,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,9,0.168201,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,9,0.146126,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,1,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,2,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,3,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,4,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,5,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,6,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,7,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,8,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,9,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,GLM-4-9B-1M,10,10,0.136138,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,1,0.151613,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,1,0.130589,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,1,0.109023,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,1,0.111239,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,1,0.127355,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,1,0.142826,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,1,0.121606,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,1,0.141991,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,1,0.112098,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,1,0.113372,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,2,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,2,0.173662,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,2,0.146443,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,2,0.157858,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,2,0.144479,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,2,0.140531,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,2,0.109346,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,2,0.128612,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,2,0.146309,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,2,0.141428,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,3,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,3,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,3,0.145588,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,3,0.146250,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,3,0.144407,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,3,0.138696,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,3,0.117827,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,3,0.099142,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,3,0.137443,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,3,0.117457,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,4,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,4,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,4,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,4,0.145659,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,4,0.154828,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,4,0.157309,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,4,0.117713,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,4,0.118205,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,4,0.114569,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,4,0.098673,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,5,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,5,0.155493,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,5,0.118762,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,5,0.092045,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,5,0.072622,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,5,0.101607,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,5,0.053991,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,6,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,6,0.173644,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,6,0.133063,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,6,0.136807,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,6,0.101760,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,6,0.132358,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,7,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,7,0.231928,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,7,0.150203,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,7,0.110785,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,7,0.118006,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,8,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,8,0.186997,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,8,0.122928,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,8,0.108233,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,9,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,9,9,0.149433,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,10,9,0.134443,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,1,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,2,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,3,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,4,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,5,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,6,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,7,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
heatmap_matrix,overall,overall,Qwen3.5-9B,8,10,,held_out_character,raw stage-by-checkpoint score; masked when c<s
